"from","to","hiking_time_to","hiking_time_back"
366,382,258939,259163
366,396,266890,266515
367,382,258082,257063
367,383,255637,256341
367,397,243354,243479
368,383,255781,255781
369,384,255645,255659
370,384,255410,256455
370,385,256090,255839
370,398,241667,241792
371,385,256187,255865
371,386,255776,255942
371,399,245789,245463
372,386,255843,255610
372,387,256237,255360
372,400,244237,242719
373,387,256466,255521
373,388,258021,254712
373,401,244501,242674
374,388,258597,258661
374,389,258740,261232
374,402,249387,249518
375,389,255854,255763
375,390,255984,255759
375,403,239692,239070
376,390,260730,260689
376,391,256988,255630
376,404,253646,251558
377,391,256390,255841
377,392,257162,256578
377,405,242352,241762
378,392,259107,257400
378,393,258314,257589
378,406,244955,242780
379,393,267224,265509
379,394,258328,259617
379,407,266814,266513
380,394,260282,259382
380,395,257210,256582
380,408,243338,243346
381,395,259343,260667
381,396,264495,263446
381,409,257940,257577
382,396,258553,257532
382,397,258097,258938
382,410,257806,257732
383,397,256045,255578
383,411,238227,238227
384,398,256662,255938
384,412,238227,238227
385,398,255837,256398
385,399,256257,256265
385,413,241331,241693
386,399,256195,255731
386,400,258780,257829
386,414,246743,244526
387,400,257051,256467
387,401,257228,256486
387,415,248350,248225
388,401,256604,258021
388,402,257283,257847
388,416,243987,245704
389,402,257551,254843
389,403,255962,255463
389,417,247787,245485
390,403,255997,255638
390,404,259256,257859
390,418,243225,242472
391,404,260177,258570
391,405,256075,255930
391,419,242261,241878
392,405,256419,256185
392,406,257486,256482
392,420,243754,244094
393,406,259453,257254
393,407,259958,260546
393,421,254454,255005
394,407,264870,263004
394,408,259171,259648
394,422,262031,261872
395,408,256864,257077
395,409,266225,264197
395,423,252545,251267
396,409,258239,258680
396,410,264369,265097
396,424,256652,256953
397,410,258312,257230
397,411,255420,255859
397,425,250674,250958
398,412,257650,257888
398,413,256761,256764
398,426,239616,240198
399,413,255863,256299
399,414,257959,256206
399,427,252366,251603
400,414,259255,257123
400,415,263428,262776
400,428,261819,261606
401,415,257942,257571
401,416,257203,256342
401,429,249738,249373
402,416,255757,256283
402,417,256938,255388
402,430,240429,240825
403,417,258632,255625
403,418,257413,256538
403,431,245805,244085
404,418,257443,258714
404,419,257508,257643
404,432,243177,242298
405,419,256477,255753
405,420,256843,256908
405,433,240501,241302
406,420,257825,258940
406,421,257577,259439
406,434,244018,246160
407,421,258076,258149
407,422,259668,259399
407,435,251549,252108
408,422,262151,260123
408,423,260205,258594
408,436,245871,245636
409,423,267508,267924
409,424,263457,263534
409,437,267322,268217
410,424,277795,277730
410,425,259703,260116
410,438,266954,266088
411,425,256622,256100
411,439,238227,238227
412,426,255735,255735
413,426,255739,256448
413,427,259557,258500
413,440,244595,245309
414,427,257896,258692
414,428,258489,259527
414,441,264999,264901
415,428,275795,275923
415,429,261196,261807
415,442,268607,265239
416,429,257394,257694
416,430,256201,256100
416,443,243988,243532
417,430,255264,257221
417,431,258446,259345
417,444,240278,241858
418,431,260527,259318
418,432,259022,257642
